Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,0,0,1,0.0625
3,2,16,0,0,2,0.125
7,3,32,0,0,2,0.0625
8,3,16,0,0,2,0.125
10,3,16,0,0,1,0.0625
11,2,16,0,0,1,0.0625
12,3,32,0,0,3,0.09375
13,3,32,0,0,2,0.0625
14,2,32,0,0,2,0.0625
15,2,32,0,0,3,0.09375
18,3,16,0,0,2,0.125
19,2,16,0,0,1,0.0625
20,3,16,0,0,2,0.125
22,3,16,0,0,1,0.0625
26,2,16,0,0,2,0.125
30,3,32,0,0,2,0.0625
32,2,32,0,0,8,0.25
34,3,16,0,0,2,0.125
35,2,16,0,0,1,0.0625
38,2,16,0,0,2,0.125
39,3,16,0,0,4,0.25
40,3,16,0,0,2,0.125
41,3,32,0,0,16,0.5
42,2,32,0,0,3,0.09375
44,2,16,0,0,2,0.125
46,2,16,0,0,1,0.0625
2,2,16,0,0,4,0.25
5,3,16,0,0,8,0.5
6,2,16,0,0,4,0.25
8,3,16,0,0,2,0.125
10,3,16,0,0,1,0.0625
11,2,16,0,0,1,0.0625
15,2,32,0,0,3,0.09375
16,2,32,0,0,8,0.25
17,3,16,0,0,4,0.25
19,2,16,0,0,1,0.0625
21,2,32,0,0,16,0.5
23,3,16,0,0,1,0.0625
24,3,16,0,0,4,0.25
25,2,16,0,0,8,0.5
26,2,16,0,0,2,0.125
27,3,32,0,0,16,0.5
28,3,16,0,0,4,0.25
29,2,32,0,0,16,0.5
31,2,16,0,0,4,0.25
33,2,16,0,0,8,0.5
34,3,16,0,0,2,0.125
37,2,32,0,0,16,0.5
38,2,16,0,0,2,0.125
40,3,16,0,0,2,0.125
42,2,32,0,0,3,0.09375
43,3,32,0,0,8,0.25
46,2,16,0,0,1,0.0625
47,3,32,0,0,16,0.5
