Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,0,0,1,0.0625
7,3,16,0,0,2,0.125
9,2,16,0,0,1,0.0625
13,3,32,0,0,3,0.09375
14,3,32,0,0,2,0.0625
15,3,16,0,0,4,0.25
16,3,16,0,0,8,0.5
17,3,16,0,0,2,0.125
19,2,32,0,0,2,0.0625
20,3,32,0,0,2,0.0625
21,2,32,0,0,3,0.09375
22,3,32,0,0,2,0.0625
23,3,32,0,0,3,0.09375
25,3,32,0,0,2,0.0625
26,2,16,0,0,1,0.0625
27,3,16,0,0,4,0.25
28,3,16,0,0,1,0.0625
29,3,16,0,0,2,0.125
30,2,16,0,0,2,0.125
32,3,16,0,0,1,0.0625
37,2,32,0,0,3,0.09375
38,2,32,0,0,2,0.0625
43,3,16,0,0,4,0.25
44,3,16,0,0,2,0.125
46,2,16,0,0,2,0.125
47,2,16,0,0,2,0.125
48,2,16,0,0,2,0.125
1,2,16,0,0,4,0.25
3,3,16,0,0,1,0.0625
6,2,32,0,0,16,0.5
10,2,16,0,0,2,0.125
11,2,32,0,0,8,0.25
13,3,16,0,0,1,0.0625
18,2,16,0,0,2,0.125
20,2,32,0,0,8,0.25
21,3,16,0,0,8,0.5
23,2,16,0,0,8,0.5
24,3,32,0,0,2,0.0625
25,2,16,0,0,1,0.0625
27,2,32,0,0,3,0.09375
31,2,16,0,0,8,0.5
33,2,32,0,0,8,0.25
34,3,16,0,0,4,0.25
35,3,16,0,0,8,0.5
37,3,32,0,0,2,0.0625
38,3,32,0,0,8,0.25
40,3,16,0,0,1,0.0625
41,3,16,0,0,4,0.25
43,2,16,0,0,2,0.125
44,3,16,0,0,2,0.125
47,3,16,0,0,2,0.125
